Parameter der nächsten 5 Trainings: batch_size = [32, 128, 512, 1024] mit Dropout ... = [256] ohne Dropout
0,0.6436,1.03266090698,0.866,0.426718467379
1,0.9104,0.287385619926,0.9003,0.36670321356
2,0.9504,0.178033381271,0.9308,0.276040683572
3,0.95,0.175473204291,0.9598,0.140656676995
4,0.958,0.145051747308,0.9537,0.153565145567
5,0.97,0.0936292030007,0.9599,0.155413012173
6,0.9788,0.0724847050942,0.9585,0.147373209511
7,0.9844,0.0575995647425,0.945,0.23194599202
8,0.9796,0.0759973481634,0.9615,0.14222208156
9,0.9756,0.0702334381826,0.9634,0.138516704884
10,0.978,0.0766522849679,0.9672,0.124925355984
11,0.9736,0.0914607100096,0.9629,0.148688272673
12,0.9844,0.0509192741424,0.9701,0.134628389781
13,0.9928,0.0227951016644,0.9659,0.166654784086
14,0.9932,0.035058192296,0.9697,0.126324327999
15,0.992,0.0324735373909,0.9641,0.154955502493
16,0.9916,0.0254612072973,0.9651,0.17710270795
17,0.9856,0.0528857120021,0.9636,0.190501281538
18,0.9916,0.0395467829554,0.9657,0.177856617292
19,0.9872,0.0585517296324,0.9666,0.167616317203

0,0.495599999237,1.514006882,0.7621,0.718206589794
1,0.856799999332,0.473115086079,0.9228,0.266188875294
2,0.926799999714,0.250015220642,0.9426,0.186118975973
3,0.953199999237,0.147620192456,0.9439,0.174003249294
4,0.958400000477,0.115323655558,0.9508,0.153522983424
5,0.970800000477,0.088383116734,0.9573,0.136851626964
6,0.977199999619,0.0653468918383,0.9613,0.119321550686
7,0.982799999619,0.0516464585871,0.9609,0.155386418913
8,0.976800000477,0.0721461445332,0.9481,0.1739384951
9,0.9796,0.0576938587807,0.9659,0.122252947313
10,0.9908,0.0337254653894,0.9642,0.134538714201
11,0.9936,0.0226547817811,0.96,0.154863265723
12,0.9896,0.0288273651406,0.9626,0.144025851981
13,0.992399999237,0.0251647683263,0.9653,0.141749807915
14,0.987199999237,0.0484920189857,0.9532,0.176334169177
15,0.990799999619,0.03382202712,0.9611,0.146479254361
16,0.993599999619,0.0170423821926,0.9735,0.121039448261
17,0.9972,0.0089152963385,0.9699,0.137986277719
18,0.992799999619,0.0249071558386,0.973,0.116088016863
19,0.9948,0.017234159179,0.9615,0.146950897724

0,0.245999998474,2.19325023537,0.611000000286,1.60638655491
1,0.511999997902,1.56080798454,0.579400000191,1.2164161747
2,0.588400001049,1.1345386097,0.732400000381,0.944635239029
3,0.768000005341,0.734710696983,0.829400000095,0.554062640667
4,0.848000004959,0.500454679012,0.8771,0.418431055832
5,0.90120000124,0.354209554052,0.911299999714,0.306246310472
6,0.922000004101,0.261095481491,0.925799999905,0.24744654479
7,0.935600001049,0.202552700257,0.936200000381,0.212805015564
8,0.951200004578,0.156316964221,0.938799999237,0.207719485617
9,0.954400001717,0.139117641997,0.946499999619,0.172254139709
10,0.958799996662,0.120414941275,0.949099999237,0.155562474775
11,0.972000002384,0.0975698182344,0.948700000572,0.166347397709
12,0.977199995804,0.0785391273975,0.957899999619,0.133523676014
13,0.979999995136,0.0763113308191,0.956399999619,0.143699162483
14,0.979999995804,0.0575648241222,0.956899999619,0.142131369615
15,0.985599995804,0.0482918891847,0.955300000095,0.155017298245
16,0.985600001526,0.0441002236128,0.9564,0.153250608373
17,0.981600001526,0.0566833139539,0.952199999714,0.182629857016
18,0.986400004387,0.0468747255921,0.9589,0.150989876795
19,0.986400001526,0.0377053292394,0.960500000095,0.146959067941

0,0.130799999905,2.28695663071,0.476500000954,2.14159803238
1,0.405600000381,1.97189083672,0.283599998903,1.84840992413
2,0.398399995232,1.74445637531,0.551000000954,1.39210052147
3,0.572400000763,1.30931957169,0.677300001907,1.08675340424
4,0.707600003242,0.949399370384,0.743700001144,0.779480652618
5,0.763199996281,0.737807007694,0.77030000124,0.767302202606
6,0.800800004482,0.63962649622,0.812400001431,0.598225889874
7,0.811999997902,0.541074781799,0.872300001812,0.436064631224
8,0.875999998569,0.412152282143,0.873700000095,0.411181044483
9,0.897999995518,0.339924184036,0.898900001335,0.317623788881
10,0.911600003433,0.277515252876,0.917999998283,0.266317891836
